"Season","Team","Conference","StatName","StatValue"
"2024","Texas Tech","Big 12","rushingYards","1025"
"2024","TCU","Big 12","fumblesLost","8"
"2024","Cincinnati","Big 12","rushingYards","919"
"2024","Kansas","Big 12","puntReturnYards","22"
"2024","Kansas State","Big 12","turnovers","6"
"2024","West Virginia","Big 12","interceptions","5"
"2024","Oklahoma State","Big 12","turnovers","8"
"2024","BYU","Big 12","totalYards","1931"
"2024","Colorado","Big 12","puntReturnTDs","0"
"2024","West Virginia","Big 12","interceptionYards","22"
"2024","Oklahoma State","Big 12","tacklesForLoss","39"
"2024","Oklahoma State","Big 12","thirdDowns","86"
"2024","Kansas","Big 12","puntReturns","3"
"2024","Colorado","Big 12","penaltyYards","369"
"2024","UCF","Big 12","puntReturns","12"
"2024","Arizona State","Big 12","turnovers","4"
"2024","Cincinnati","Big 12","kickReturns","8"
"2024","BYU","Big 12","thirdDownConversions","18"
"2024","Cincinnati","Big 12","fourthDowns","5"
"2024","Colorado","Big 12","turnovers","5"
"2024","Baylor","Big 12","penaltyYards","347"
"2024","Houston","Big 12","passesIntercepted","5"
"2024","Utah","Big 12","thirdDownConversions","24"
"2024","Arizona","Big 12","puntReturns","11"
"2024","Arizona","Big 12","interceptionYards","12"
"2024","Texas Tech","Big 12","penalties","49"
"2024","Utah","Big 12","fourthDowns","14"
"2024","Texas Tech","Big 12","sacks","6"
"2024","Utah","Big 12","penalties","21"
"2024","Kansas","Big 12","fumblesLost","3"
"2024","Arizona State","Big 12","fourthDowns","10"
"2024","Baylor","Big 12","fourthDowns","21"
"2024","Iowa State","Big 12","totalYards","2139"
"2024","Houston","Big 12","kickReturnYards","211"
"2024","Baylor","Big 12","passingTDs","12"
"2024","Utah","Big 12","kickReturnTDs","0"
"2024","Baylor","Big 12","possessionTime","9433"
"2024","BYU","Big 12","possessionTime","9690"
"2024","Iowa State","Big 12","penalties","20"
"2024","West Virginia","Big 12","fumblesRecovered","4"
"2024","Arizona","Big 12","kickReturnYards","307"
"2024","BYU","Big 12","firstDowns","100"
"2024","West Virginia","Big 12","kickReturns","6"
"2024","BYU","Big 12","passesIntercepted","7"
"2024","Houston","Big 12","totalYards","1793"
"2024","Houston","Big 12","puntReturns","9"
"2024","Arizona State","Big 12","kickReturns","4"
"2024","Arizona","Big 12","rushingAttempts","130"
"2024","Baylor","Big 12","passCompletions","108"
"2024","Arizona State","Big 12","kickReturnTDs","0"
"2024","UCF","Big 12","interceptionTDs","0"
"2024","Colorado","Big 12","passAttempts","199"
"2024","Houston","Big 12","interceptionTDs","0"
"2024","TCU","Big 12","passesIntercepted","3"
"2024","Kansas State","Big 12","puntReturnTDs","2"
"2024","Kansas","Big 12","kickReturns","15"
